,State,City,Year,Count,Mean_Severity,High Severity Count
270,AL,Calera,2021,182,2.2472527472527473,37.0
271,AL,Calera,2022,168,2.255952380952381,29.0
272,AL,Calera,2023,12,2.1666666666666665,0.0
273,AL,Camden,2018,1,2.0,0.0
274,AL,Camden,2019,2,4.0,0.0
275,AL,Camden,2021,6,2.3333333333333335,0.0
276,AL,Camden,2022,5,2.2,1.0
277,AL,Camp Hill,2019,1,2.0,0.0
278,AL,Camp Hill,2020,3,2.0,0.0
279,AL,Camp Hill,2021,1,2.0,0.0
280,AL,Camp Hill,2022,6,3.0,0.0
281,AL,Carbon Hill,2017,1,2.0,0.0
282,AL,Carbon Hill,2018,2,3.0,2.0
283,AL,Carbon Hill,2019,7,2.5714285714285716,4.0
284,AL,Carbon Hill,2020,6,2.3333333333333335,2.0
285,AL,Carbon Hill,2021,41,2.292682926829268,6.0
286,AL,Carbon Hill,2022,22,2.1363636363636362,3.0
287,AL,Carrollton,2017,1,2.0,0.0
288,AL,Carrollton,2018,2,2.0,0.0
289,AL,Carrollton,2019,2,2.0,0.0
290,AL,Carrollton,2020,4,2.0,0.0
291,AL,Castleberry,2017,2,2.5,1.0
292,AL,Castleberry,2018,7,2.857142857142857,6.0
293,AL,Castleberry,2019,6,2.6666666666666665,4.0
294,AL,Castleberry,2020,21,2.238095238095238,3.0
295,AL,Castleberry,2021,15,2.2,3.0
296,AL,Castleberry,2022,25,2.08,2.0
297,AL,Catherine,2022,9,2.4444444444444446,0.0
298,AL,Cecil,2018,5,2.4,2.0
299,AL,Cecil,2019,4,2.0,0.0
300,AL,Cecil,2020,5,2.0,0.0
301,AL,Cecil,2021,6,2.3333333333333335,0.0
302,AL,Cecil,2022,1,2.0,0.0
303,AL,Cedar Bluff,2017,1,4.0,0.0
304,AL,Cedar Bluff,2019,3,2.0,0.0
305,AL,Cedar Bluff,2021,5,2.4,0.0
306,AL,Cedar Bluff,2022,15,2.0,0.0
307,AL,Cedar Bluff,2023,4,3.0,0.0
308,AL,Center Point,2017,1,2.0,0.0
309,AL,Center Point,2018,2,2.0,0.0
310,AL,Center Point,2019,5,2.0,0.0
311,AL,Center Point,2020,2,2.0,0.0
312,AL,Center Point,2021,1,2.0,0.0
313,AL,Centre,2017,1,2.0,0.0
314,AL,Centre,2018,1,2.0,0.0
315,AL,Centre,2019,3,2.0,0.0
316,AL,Centre,2020,1,2.0,0.0
317,AL,Centre,2021,6,2.3333333333333335,0.0
318,AL,Centre,2022,41,2.024390243902439,0.0
319,AL,Centreville,2018,11,2.0,0.0
320,AL,Centreville,2019,10,2.0,0.0
321,AL,Centreville,2020,6,2.0,0.0
322,AL,Centreville,2021,7,2.0,0.0
323,AL,Centreville,2022,5,2.0,0.0
324,AL,Centreville,2023,3,2.6666666666666665,0.0
325,AL,Chancellor,2019,2,2.0,0.0
326,AL,Chancellor,2020,2,2.0,0.0
327,AL,Chancellor,2021,4,2.0,0.0
328,AL,Chatom,2021,2,2.0,0.0
329,AL,Chelsea,2017,6,2.3333333333333335,0.0
330,AL,Chelsea,2018,41,2.0,0.0
331,AL,Chelsea,2019,27,2.037037037037037,1.0
332,AL,Chelsea,2020,19,1.9473684210526316,0.0
333,AL,Chelsea,2021,17,2.0,0.0
334,AL,Chelsea,2022,36,2.0277777777777777,0.0
335,AL,Chelsea,2023,1,2.0,0.0
336,AL,Cherokee,2016,1,2.0,0.0
337,AL,Cherokee,2017,1,2.0,0.0
338,AL,Cherokee,2018,4,2.0,0.0
339,AL,Cherokee,2019,8,2.125,1.0
340,AL,Cherokee,2020,10,2.0,0.0
341,AL,Cherokee,2021,14,2.0,0.0
342,AL,Cherokee,2022,7,1.8571428571428572,0.0
343,AL,Chickasaw,2018,1,2.0,0.0
344,AL,Chickasaw,2019,1,2.0,0.0
345,AL,Chickasaw,2020,2,2.0,0.0
346,AL,Chickasaw,2021,3,3.0,1.0
347,AL,Childersburg,2019,1,2.0,0.0
348,AL,Childersburg,2020,2,2.5,1.0
349,AL,Childersburg,2021,2,3.0,0.0
350,AL,Childersburg,2022,1,2.0,0.0
351,AL,Chunchula,2017,6,2.0,0.0
352,AL,Chunchula,2018,11,2.0,0.0
353,AL,Chunchula,2019,7,2.0,0.0
